number,x,y
1766,-30,23
1767,10,68
1768,48,-23
1769,31,35
1770,-1,54
1771,-28,-65
1772,44,15
1773,59,-8
1774,-30,27
1775,-41,-35
1776,11,69
1777,62,-6
1778,-27,-67
1779,15,51
1780,31,36
1781,-2,-51
1782,12,-36
1783,14,55
1784,48,-24
1785,-2,41
1786,-18,37
1787,11,70
1788,48,-21
1789,-25,-62
1790,62,-5
1791,51,-17
1792,12,67
1793,44,-19
1794,28,39
1795,-1,53
1796,53,-13
1797,-29,28
1798,30,29
1799,-27,32
1800,-19,-40
1801,-14,-65
1802,60,-2
1803,12,69
1804,-22,-66
1805,-29,-65
1806,62,-7
1807,49,-19
1808,-40,-6
1809,63,-5
1810,-41,-9
1811,-22,-32
1812,-29,2
1813,-25,-18
1814,4,61
1815,-43,-33
1816,15,63
1817,5,-39
1818,64,-5
1819,-30,-33
1820,59,-2
1821,-26,-62
1822,-29,-66
1823,4,63
1824,-28,32
1825,65,-5
1826,27,39
1827,5,-40
1828,10,70
1829,12,-37
1830,54,2
1831,-2,-52
1832,61,-2
1833,-2,-55
1834,51,-15
1835,-31,23
1836,50,-17
1837,-1,-55
1838,-1,-51
1839,16,-22
1840,63,-7
1841,-40,-35
1842,-30,28
1843,5,64
1844,-43,-28
1845,28,40
1846,-1,56
1847,14,-20
1848,63,-8
1849,-30,-66
1850,-26,31
1851,3,63
1852,0,-51
1853,-42,-25
1854,62,-8
1855,11,71
1856,-11,-59
1857,-27,-68
1858,-41,-36
1859,-20,-64
1860,-42,-9
1861,4,62
1862,-19,37
1863,-31,28
1864,-27,7
